Feature,Importance
int_col_Pimento / Ebony,0.0
int_col_Sakhir Orange/Black,0.0
int_col_Pearl Beige,0.0
int_col_Parchment.,0.0
int_col_Parchment,0.0
int_col_Oyster/Black,0.0
int_col_Oyster W/Contrast,0.0
int_col_Orchid,0.0
int_col_Obsidian Black,0.0
int_col_ORANGE,0.0
int_col_Nougat Brown,0.0
int_col_Nero Ade,0.0
int_col_Sakhir Orange,0.0
int_col_Sand Beige,0.0
int_col_Chateau,0.0
int_col_Tension,0.0
fuel_type_not supported,0.0
int_col_Yellow,0.0
int_col_White / Brown,0.0
ext_col_Alta White,0.0
int_col_Whisper Beige,0.0
int_col_Walnut,0.0
int_col_WHITE,0.0
int_col_Very Light Cashmere,0.0
int_col_Tupelo,0.0
int_col_Titan Black / Quarzit,0.0
int_col_Tan/Ebony/Ebony,0.0
int_col_Sandstone,0.0
int_col_Tan/Ebony,0.0
int_col_Tan,0.0
int_col_Sport,0.0
int_col_Slate,0.0
int_col_Silk Beige/Espresso Brown,0.0
int_col_Silk Beige/Black,0.0
int_col_Shara Beige,0.0
int_col_Shale,0.0
int_col_Satin Black,0.0
int_col_Sarder Brown,0.0
int_col_Nero,0.0
int_col_Navy Pier,0.0
int_col_Mountain Brown,0.0
int_col_Ebony / Ebony Accents,0.0
int_col_Gray w/Blue Bolsters,0.0
ext_col_Anthracite Blue Metallic,0.0
int_col_Graphite w/Gun Metal,0.0
int_col_Gold,0.0
int_col_Gideon,0.0
int_col_Espresso,0.0
int_col_Ebony/Light Oyster Stitch,0.0
int_col_Ebony.,0.0
int_col_Ebony Black,0.0
int_col_Ebony / Pimento,0.0
int_col_Deep Garnet,0.0
int_col_Mocha,0.0
int_col_Deep Cypress,0.0
ext_col_Shoreline Blue Pearl,0.0
int_col_Dark Gray,0.0
int_col_Dark Galvanized,0.0
int_col_Dark Auburn,0.0
int_col_Dark Ash,0.0
int_col_Cocoa / Dune,0.0
int_col_Cloud,0.0
int_col_Classic Red,0.0
int_col_Chestnut,0.0
int_col_Graystone,0.0
int_col_Green,0.0
int_col_Hotspur,0.0
int_col_Hotspur Hide,0.0
int_col_Mistral Gray / Raven,0.0
int_col_Mesa,0.0
int_col_Medium Stone,0.0
int_col_Medium Pewter,0.0
int_col_Medium Light Camel,0.0
int_col_Medium Earth Gray,0.0
int_col_Medium Dark Slate,0.0
int_col_Medium Ash Gray,0.0
int_col_Magma Red,0.0
int_col_Macchiato/Magmagrey,0.0
int_col_Macchiato Beige/Black,0.0
int_col_Macchiato,0.0
int_col_Linen,0.0
int_col_Light Titanium,0.0
int_col_Light Slate,0.0
int_col_Light Platinum / Jet Black,0.0
int_col_Light Gray,0.0
int_col_Kyalami Orange,0.0
ext_col_Anodized Blue Metallic,0.0
int_col_Ivory / Ebony,0.0
int_col_Ice,0.0
ext_col_Silician Yellow,0.0
ext_col_Sangria Red,0.0
ext_col_Shimmering Silver,0.0
ext_col_Emerald Green Metallic,0.0
ext_col_Fuji White,0.0
ext_col_Frozen White,0.0
ext_col_Frozen Dark Silver Metallic,0.0
ext_col_Fountain Blue,0.0
ext_col_Florett Silver,0.0
ext_col_Flame Red Clearcoat,0.0
ext_col_Firenze Red Metallic,0.0
ext_col_Firenze Red,0.0
ext_col_Eminent White Pearl,0.0
ext_col_Emin White,0.0
ext_col_Ember Pearlcoat,0.0
ext_col_Garnet Red Metallic,0.0
ext_col_Electric Blue Metallic,0.0
ext_col_Eiger Grey Metallic,0.0
ext_col_Eiger Grey,0.0
ext_col_Ebony Black,0.0
ext_col_Donington Grey Metallic,0.0
ext_col_Diamond White,0.0
ext_col_Designo Magno Matte,0.0
ext_col_Delmonico Red Pearlcoat,0.0
ext_col_Deep Crystal Blue Mica,0.0
ext_col_Deep Blue Metallic,0.0
ext_col_GT SILVER,0.0
ext_col_Gecko Pearlcoat,0.0
ext_col_Infrared Tintcoat,0.0
ext_col_Gun Metallic,0.0
ext_col_Imperial Blue Metallic,0.0
ext_col_Iconic Silver Metallic,0.0
ext_col_Ice Silver Metallic,0.0
ext_col_Ice,0.0
ext_col_Ibis White,0.0
ext_col_Hyper Red,0.0
ext_col_Hydro Blue Pearlcoat,0.0
ext_col_Horizon Blue,0.0
ext_col_Hellayella Clearcoat,0.0
ext_col_Hampton Gray,0.0
ext_col_BLACK,0.0
ext_col_Gentian Blue Metallic,0.0
ext_col_BLUE,0.0
ext_col_Graphite Grey Metallic,0.0
ext_col_Graphite Grey,0.0
ext_col_Granite Crystal Metallic Clearcoat,0.0
ext_col_Go Mango!,0.0
ext_col_Glacier White Metallic,0.0
ext_col_Glacier White,0.0
ext_col_Glacier Silver Metallic,0.0
ext_col_Glacier Blue Metallic,0.0
ext_col_Glacier,0.0
ext_col_Deep Black Pearl Effect,0.0
ext_col_Dazzling White,0.0
ext_col_Daytona Gray Pearl Effect w/ Black Roof,0.0
ext_col_Barcelona Red,0.0
ext_col_Burnished Bronze Metallic,0.0
ext_col_Baltic Gray,0.0
ext_col_Bronze Dune Metallic,0.0
